,stock,year,dividend_per_share
0,ABCB4,2007,0.27
1,ABCB4,2008,0.352
2,ABCB4,2009,0.51
3,ABCB4,2010,0.54
4,ABCB4,2011,0.6
5,ABCB4,2012,0.33
6,ABCB4,2013,0.604649
7,ABCB4,2014,0.659
8,ABCB4,2015,1.19800358
9,ABCB4,2016,1.087
10,ABCB4,2017,1.086
11,ABCB4,2018,1.079
12,ABCB4,2019,1.05
13,ABCB4,2020,0.15867276
14,ABCB4,2021,1.25416431
0,BRSR6,2007,0.1747053
1,BRSR6,2010,0.60143671
2,BRSR6,2011,0.76991948
3,BRSR6,2012,0.62179065
4,BRSR6,2013,0.40250839
5,BRSR6,2014,0.66127352
6,BRSR6,2015,0.90072045
7,BRSR6,2016,0.57798076
8,BRSR6,2017,0.27160569
9,BRSR6,2018,1.34571436
10,BRSR6,2019,1.24389784
11,BRSR6,2020,0.65688268
12,BRSR6,2021,0.95386928
13,BRSR6,2022,0.33389306
0,BBSE3,2013,0.41478797
1,BBSE3,2014,1.1982075
2,BBSE3,2015,1.68226668
3,BBSE3,2016,1.67387446
4,BBSE3,2017,1.64466808
5,BBSE3,2018,3.0979797
6,BBSE3,2019,1.58271179
7,BBSE3,2020,2.78609655
8,BBSE3,2021,0.99699643
9,BBSE3,2022,0.93004838
0,BBDC3,2007,0.06128925
1,BBDC3,2008,1.82593912
2,BBDC3,2009,0.80068788
3,BBDC3,2010,0.80483254
4,BBDC3,2011,0.97409477
5,BBDC3,2012,0.92418364
6,BBDC3,2013,0.78430512
7,BBDC3,2014,1.1793518
8,BBDC3,2015,1.29001735
9,BBDC3,2016,0.32777352
10,BBDC3,2017,0.97870789
11,BBDC3,2018,1.04328396
12,BBDC3,2019,1.83156812
13,BBDC3,2020,0.6427331
14,BBDC3,2021,0.93309765
15,BBDC3,2022,0.20699791
0,BBDC4,2007,0.06741818
1,BBDC4,2008,2.00853304
2,BBDC4,2009,0.88075666
3,BBDC4,2010,0.88531579
4,BBDC4,2011,1.07150425
5,BBDC4,2012,1.01660201
6,BBDC4,2013,0.86273563
7,BBDC4,2014,1.29728698
8,BBDC4,2015,1.41901909
9,BBDC4,2016,0.36055088
10,BBDC4,2017,1.07657868
11,BBDC4,2018,1.14761237
12,BBDC4,2019,2.01472493
13,BBDC4,2020,0.70700641
14,BBDC4,2021,1.02640742
15,BBDC4,2022,0.22769771
0,BRAP4,2007,0.23926407
1,BRAP4,2008,1.13354711
2,BRAP4,2009,1.16031289
3,BRAP4,2010,1.01749512
4,BRAP4,2011,1.70030695
5,BRAP4,2012,1.85309227
6,BRAP4,2013,0.65013249
7,BRAP4,2014,1.7155252
8,BRAP4,2015,1.03356345
9,BRAP4,2016,0.11100309
10,BRAP4,2017,0.47252592
11,BRAP4,2018,1.92905567
12,BRAP4,2019,1.39420181
13,BRAP4,2020,2.00339806
14,BRAP4,2021,11.26752587
0,BBAS3,2007,0.53575774
1,BBAS3,2008,0.85657223
2,BBAS3,2009,1.25197188
3,BBAS3,2010,2.29548632
4,BBAS3,2011,1.88050015
5,BBAS3,2012,1.62130374
6,BBAS3,2013,2.36147644
7,BBAS3,2014,1.65666471
8,BBAS3,2015,1.68392729
9,BBAS3,2016,0.74301385
10,BBAS3,2017,0.94213526
11,BBAS3,2018,1.51444527
12,BBAS3,2019,2.55423428
13,BBAS3,2020,1.47711054
14,BBAS3,2021,2.26626591
15,BBAS3,2022,1.03535026
0,AGRO3,2008,0.0193
1,AGRO3,2013,0.10070439
2,AGRO3,2015,1.3977
3,AGRO3,2016,0.42410684
4,AGRO3,2017,0.24110848
5,AGRO3,2018,0.76205108
6,AGRO3,2019,0.92933058
7,AGRO3,2020,0.70966415
8,AGRO3,2021,2.62118122
0,CCRO3,2008,1.5
1,CCRO3,2009,1.51
2,CCRO3,2010,1.93
3,CCRO3,2011,1.818309
4,CCRO3,2012,0.59707733
5,CCRO3,2013,0.73707733
6,CCRO3,2014,0.79297733
7,CCRO3,2015,0.59501957
8,CCRO3,2016,0.70797976
9,CCRO3,2017,0.63663366
10,CCRO3,2018,0.59405941
11,CCRO3,2019,0.76237624
12,CCRO3,2020,0.4818038
13,CCRO3,2021,0.16598075
0,CMIG3,2008,1.74912768
1,CMIG3,2009,1.90190918
2,CMIG3,2010,2.82026839
3,CMIG3,2011,2.99956462
4,CMIG3,2012,5.76734281
5,CMIG3,2013,1.98266353
6,CMIG3,2014,3.30332877
7,CMIG3,2015,0.60981374
8,CMIG3,2016,0.64688892
9,CMIG3,2017,0.24355956
10,CMIG3,2018,0.17458687
11,CMIG3,2019,0.72511033
12,CMIG3,2020,0.61432439
13,CMIG3,2021,1.1760464
0,CMIG4,2008,1.74912768
1,CMIG4,2009,1.90190918
2,CMIG4,2010,2.82026839
3,CMIG4,2011,2.99956462
4,CMIG4,2012,5.76734281
5,CMIG4,2013,1.98266353
6,CMIG4,2014,3.30332877
7,CMIG4,2015,0.60981374
8,CMIG4,2016,0.64688892
9,CMIG4,2017,0.24355956
10,CMIG4,2018,0.64430279
11,CMIG4,2019,0.72511033
12,CMIG4,2020,0.61432439
13,CMIG4,2021,1.1760464
0,CESP6,2008,0.15520503
1,CESP6,2009,0.29802927
2,CESP6,2010,0.29683333
3,CESP6,2011,0.70331066
4,CESP6,2012,1.53589264
5,CESP6,2013,1.41687803
6,CESP6,2014,3.17897672
7,CESP6,2015,4.85437507
8,CESP6,2016,0.48188475
9,CESP6,2017,0.48370077
10,CESP6,2018,0.03805119
11,CESP6,2019,0.88663413
12,CESP6,2020,2.27649949
13,CESP6,2021,2.16980942
0,CSMG3,2006,0.20518946
1,CSMG3,2007,0.20814388
2,CSMG3,2008,0.3033345
3,CSMG3,2009,0.45784439
4,CSMG3,2010,0.61187798
5,CSMG3,2011,0.55159168
6,CSMG3,2012,0.40680458
7,CSMG3,2013,0.42652674
8,CSMG3,2014,0.37702527
9,CSMG3,2015,0.02962055
10,CSMG3,2016,0.22383634
11,CSMG3,2017,0.69791246
12,CSMG3,2018,1.34163689
13,CSMG3,2019,0.57574589
14,CSMG3,2020,2.78756287
15,CSMG3,2021,0.94472221
16,CSMG3,2022,0.08932795
0,CPLE3,2008,0.093356
1,CPLE3,2009,0.149914
2,CPLE3,2010,0.058002
3,CPLE3,2011,0.147168
4,CPLE3,2012,0.06803
5,CPLE3,2013,0.161356
6,CPLE3,2014,0.215021
7,CPLE3,2015,0.084351
8,CPLE3,2016,0.113716
9,CPLE3,2017,0.26909
10,CPLE3,2018,0.105692
11,CPLE3,2019,0.25866979
12,CPLE3,2020,0.2818324
13,CPLE3,2021,1.19050587
0,CPLE6,2008,0.102713
1,CPLE6,2009,0.164948
2,CPLE6,2010,0.063807
3,CPLE6,2011,0.161922
4,CPLE6,2012,0.07484
5,CPLE6,2013,0.177519
6,CPLE6,2014,0.236563
7,CPLE6,2015,0.092803
8,CPLE6,2016,0.125473
9,CPLE6,2017,0.296229
10,CPLE6,2018,0.116266
11,CPLE6,2019,0.28457292
12,CPLE6,2020,0.31001564
13,CPLE6,2021,1.30955648
0,CPFE3,2007,1.75583756
1,CPFE3,2008,2.75148134
2,CPFE3,2009,2.45415387
3,CPFE3,2010,2.97445166
4,CPFE3,2011,1.78721395
5,CPFE3,2012,1.26198384
6,CPFE3,2013,0.85106084
7,CPFE3,2014,1.02880893
8,CPFE3,2016,0.20686848
9,CPFE3,2017,0.21787679
10,CPFE3,2018,0.27525952
11,CPFE3,2019,0.48018223
12,CPFE3,2020,1.80097341
13,CPFE3,2021,3.70143225
0,CYRE3,2007,0.16870927
1,CYRE3,2008,0.0409787
2,CYRE3,2009,0.18539795
3,CYRE3,2010,0.47090271
4,CYRE3,2011,0.33702116
5,CYRE3,2012,0.28810544
6,CYRE3,2013,0.50390071
7,CYRE3,2014,0.42307125
8,CYRE3,2015,0.41499399
9,CYRE3,2016,0.27917489
10,CYRE3,2017,0.09406327
11,CYRE3,2018,1.1196483
12,CYRE3,2019,1.82089517
13,CYRE3,2020,1.81736062
14,CYRE3,2021,1.08727369
0,DIRR3,2010,0.141
1,DIRR3,2011,0.3019
2,DIRR3,2012,0.2709
3,DIRR3,2013,0.36386754
4,DIRR3,2014,0.60923891
5,DIRR3,2015,0.4459902
6,DIRR3,2016,0.27064811
7,DIRR3,2018,0.612289
8,DIRR3,2019,0.88
9,DIRR3,2020,0.81
10,DIRR3,2021,0.69
0,ELET3,2006,0.3553
1,ELET3,2007,0.2746
2,ELET3,2008,0.41605898
3,ELET3,2009,1.54227975
4,ELET3,2010,14.61536295
5,ELET3,2011,0.87460685
6,ELET3,2012,2.51182617
7,ELET3,2013,0.80771084
8,ELET3,2014,1.21082167
9,ELET3,2019,0.81057158
10,ELET3,2020,1.6253849
11,ELET3,2021,2.39833822
0,ELET6,2008,1.56932971
1,ELET6,2009,1.69650773
2,ELET6,2010,1.85801074
3,ELET6,2011,1.71352822
4,ELET6,2012,3.33140189
5,ELET6,2013,3.30549244
6,ELET6,2014,4.95508488
7,ELET6,2015,0.10174654
8,ELET6,2017,1.69577556
9,ELET6,2019,1.38863857
10,ELET6,2020,1.78792339
11,ELET6,2021,2.63817205
0,ENAT3,2011,0.0004
1,ENAT3,2012,3e-06
2,ENAT3,2013,3e-06
3,ENAT3,2014,0.150485
4,ENAT3,2015,0.15
5,ENAT3,2016,0.15
6,ENAT3,2017,0.15
7,ENAT3,2018,1.53632693
8,ENAT3,2019,1.90684829
9,ENAT3,2020,1.1426949
10,ENAT3,2021,0.1938561
0,ENBR3,2005,0.11146333
1,ENBR3,2006,0.53726967
2,ENBR3,2007,0.24351533
3,ENBR3,2008,0.42186933
4,ENBR3,2009,0.31278833
5,ENBR3,2010,0.845961
6,ENBR3,2011,0.79402473
7,ENBR3,2012,0.50307363
8,ENBR3,2013,0.83990803
9,ENBR3,2014,0.99695
10,ENBR3,2015,0.16350086
11,ENBR3,2016,1.15059347
12,ENBR3,2017,0.11994921
13,ENBR3,2018,1.20982878
14,ENBR3,2019,0.45154674
15,ENBR3,2020,0.19426238
16,ENBR3,2021,1.0
17,ENBR3,2022,2.18300272
0,EGIE3,2008,1.15864845
1,EGIE3,2009,0.83035261
2,EGIE3,2010,0.90083464
3,EGIE3,2011,1.63965745
4,EGIE3,2012,2.2785426
5,EGIE3,2013,2.43403669
6,EGIE3,2014,1.63142803
7,EGIE3,2015,1.2215515
8,EGIE3,2016,1.97198237
9,EGIE3,2017,2.71632887
10,EGIE3,2018,4.21779909
11,EGIE3,2019,1.62281866
12,EGIE3,2020,1.72461385
13,EGIE3,2021,1.7882858
14,EGIE3,2022,0.78275241
0,ROMI3,2007,0.38
1,ROMI3,2008,0.3781
2,ROMI3,2009,0.13
3,ROMI3,2010,0.5
4,ROMI3,2011,0.33
5,ROMI3,2014,0.0045
6,ROMI3,2015,0.025
7,ROMI3,2016,0.0226
8,ROMI3,2017,0.08
9,ROMI3,2018,0.7423
10,ROMI3,2019,1.12
11,ROMI3,2020,2.4
12,ROMI3,2021,0.7769
13,ROMI3,2022,0.27
0,MYPK3,2008,0.5647037
1,MYPK3,2009,1.67008828
2,MYPK3,2010,0.43008422
3,MYPK3,2011,0.68874705
4,MYPK3,2012,1.18617281
5,MYPK3,2013,0.57266343
6,MYPK3,2014,0.30030269
7,MYPK3,2015,0.30255896
8,MYPK3,2016,0.22077531
9,MYPK3,2017,0.0756266
10,MYPK3,2018,0.76445872
11,MYPK3,2019,0.1850616
12,MYPK3,2020,0.6641181
13,MYPK3,2021,1.0055532
14,MYPK3,2022,0.3993471
0,ITSA4,2007,0.0869
1,ITSA4,2008,0.2565
2,ITSA4,2009,0.3631
3,ITSA4,2010,0.3894574
4,ITSA4,2011,0.3717
5,ITSA4,2012,0.4137
6,ITSA4,2013,0.217
7,ITSA4,2014,0.1776
8,ITSA4,2015,0.53312
9,ITSA4,2016,0.5028
10,ITSA4,2017,0.38086
11,ITSA4,2018,0.9512
12,ITSA4,2019,1.19075
13,ITSA4,2020,0.64505
14,ITSA4,2021,0.394165
15,ITSA4,2022,0.26671
0,ITUB3,2007,0.21704
1,ITUB3,2009,0.25173333
2,ITUB3,2010,0.56393333
3,ITUB3,2011,0.62693333
4,ITUB3,2012,0.67053333
5,ITUB3,2013,0.5756
6,ITUB3,2014,0.34906667
7,ITUB3,2015,0.87906667
8,ITUB3,2016,0.55626667
9,ITUB3,2017,0.21633333
10,ITUB3,2018,1.49286667
11,ITUB3,2019,2.80456
12,ITUB3,2020,1.30356
13,ITUB3,2021,0.909348
14,ITUB3,2022,0.20781
0,ITUB4,2007,0.21704
1,ITUB4,2009,0.25173333
2,ITUB4,2010,0.56393333
3,ITUB4,2011,0.62693333
4,ITUB4,2012,0.67053333
5,ITUB4,2013,0.5756
6,ITUB4,2014,0.34906667
7,ITUB4,2015,0.87906667
8,ITUB4,2016,0.55626667
9,ITUB4,2017,0.21633333
10,ITUB4,2018,1.49286667
11,ITUB4,2019,2.80456
12,ITUB4,2020,1.30356
13,ITUB4,2021,0.909348
14,ITUB4,2022,0.20781
0,JHSF3,2008,0.03518643
1,JHSF3,2009,0.22849608
2,JHSF3,2010,0.18300438
3,JHSF3,2011,0.23462099
4,JHSF3,2012,0.18665113
5,JHSF3,2013,0.18554067
6,JHSF3,2014,0.05787638
7,JHSF3,2019,0.19956691
8,JHSF3,2020,0.14590841
9,JHSF3,2021,0.39384153
10,JHSF3,2022,0.16065603
0,MRVE3,2008,0.07517208
1,MRVE3,2009,0.377387
2,MRVE3,2010,0.32739408
3,MRVE3,2011,0.18019294
4,MRVE3,2012,0.37709306
5,MRVE3,2013,0.2624
6,MRVE3,2014,0.30058394
7,MRVE3,2015,0.7754873
8,MRVE3,2016,0.3538
9,MRVE3,2017,0.63970984
10,MRVE3,2018,1.0300016
11,MRVE3,2019,1.11128424
12,MRVE3,2020,0.37013484
13,MRVE3,2021,0.6400296
0,PSSA3,2008,1.67392361
1,PSSA3,2009,0.85312953
2,PSSA3,2010,0.60988772
3,PSSA3,2011,1.05101377
4,PSSA3,2012,0.97952123
5,PSSA3,2013,1.10979229
6,PSSA3,2014,1.22984328
7,PSSA3,2015,1.74368042
8,PSSA3,2016,1.32806412
9,PSSA3,2017,1.50262952
10,PSSA3,2018,4.03729243
11,PSSA3,2019,2.12099685
12,PSSA3,2020,2.14133161
13,PSSA3,2021,2.61205662
0,QUAL3,2015,0.42400874
1,QUAL3,2016,1.69307877
2,QUAL3,2017,1.36856238
3,QUAL3,2018,0.72357506
4,QUAL3,2019,1.30657702
5,QUAL3,2020,0.29324891
6,QUAL3,2021,2.07132509
0,SAPR4,2008,0.0397373
1,SAPR4,2009,0.03447645
2,SAPR4,2010,0.04226843
3,SAPR4,2011,0.10191737
4,SAPR4,2012,0.10466376
5,SAPR4,2013,0.13285964
6,SAPR4,2014,0.17031498
7,SAPR4,2015,0.17330528
8,SAPR4,2016,0.20985696
9,SAPR4,2017,0.22061118
10,SAPR4,2018,0.22699517
11,SAPR4,2019,0.29214389
12,SAPR4,2020,0.20228297
13,SAPR4,2021,0.22236996
0,SANB11,2009,0.25020091
1,SANB11,2010,0.93232759
2,SANB11,2011,0.83674581
3,SANB11,2012,0.38816067
4,SANB11,2017,0.4000026
5,SANB11,2018,1.7649
6,SANB11,2019,2.08998416
7,SANB11,2020,2.80526636
8,SANB11,2021,2.83582926
9,SANB11,2022,0.87098698
0,CSNA3,2007,5.031763
1,CSNA3,2008,1.916905
2,CSNA3,2009,2.673873
3,CSNA3,2011,1.27355
4,CSNA3,2012,0.82306
5,CSNA3,2013,0.91222109
6,CSNA3,2014,0.4938597
7,CSNA3,2015,0.20263304
8,CSNA3,2019,0.94991397
9,CSNA3,2020,0.00887187
10,CSNA3,2021,1.92096015
11,CSNA3,2022,0.1915079
0,SYNE3,2008,0.06217
1,SYNE3,2009,0.092
2,SYNE3,2010,0.17185461
3,SYNE3,2011,0.2582
4,SYNE3,2012,0.32682088
5,SYNE3,2013,0.8784
6,SYNE3,2014,0.4273
7,SYNE3,2015,0.2811
8,SYNE3,2016,0.0927556
9,SYNE3,2017,5.77816798
10,SYNE3,2018,2.00561111
11,SYNE3,2020,0.93262453
12,SYNE3,2021,8.26778316
0,TAEE11,2012,1.70837936
1,TAEE11,2013,2.20402763
2,TAEE11,2014,2.93372835
3,TAEE11,2015,1.88557202
4,TAEE11,2016,2.70404927
5,TAEE11,2017,1.76581285
6,TAEE11,2018,2.78725143
7,TAEE11,2019,1.89070169
8,TAEE11,2020,3.21101965
9,TAEE11,2021,4.50370283
10,TAEE11,2022,2.32306325
0,TGMA3,2007,0.21881819
1,TGMA3,2008,0.84685287
2,TGMA3,2009,0.82373514
3,TGMA3,2010,0.94786421
4,TGMA3,2011,1.0009446
5,TGMA3,2012,0.97061295
6,TGMA3,2013,0.90994964
7,TGMA3,2014,0.25754608
8,TGMA3,2015,0.07582914
9,TGMA3,2017,0.46082149
10,TGMA3,2018,1.14501249
11,TGMA3,2019,1.57071241
12,TGMA3,2020,0.34018718
13,TGMA3,2021,0.78583729
0,VIVT3,2011,1.87697249
1,VIVT3,2012,2.56750952
2,VIVT3,2013,4.70392024
3,VIVT3,2014,2.72871868
4,VIVT3,2015,3.49043587
5,VIVT3,2016,1.92120093
6,VIVT3,2017,2.40506347
7,VIVT3,2018,3.74417353
8,VIVT3,2019,3.36365135
9,VIVT3,2020,3.41514353
10,VIVT3,2021,3.46264327
11,VIVT3,2022,1.46634569
0,TRPL4,2007,0.690372
1,TRPL4,2008,1.13291725
2,TRPL4,2009,1.073822
3,TRPL4,2010,1.267127
4,TRPL4,2011,1.47664325
5,TRPL4,2012,0.698181
6,TRPL4,2013,0.327522
7,TRPL4,2014,0.354056
8,TRPL4,2015,0.5672445
9,TRPL4,2016,0.37563575
10,TRPL4,2017,0.759467
11,TRPL4,2018,3.1416795
12,TRPL4,2019,1.510526
13,TRPL4,2020,1.73958
14,TRPL4,2021,3.588862
0,UNIP6,2007,0.022
1,UNIP6,2008,0.0473
2,UNIP6,2009,0.022
3,UNIP6,2012,0.0021
4,UNIP6,2013,0.0076
5,UNIP6,2014,0.0194
6,UNIP6,2015,0.2474
7,UNIP6,2016,0.31730879
8,UNIP6,2017,5.04210542
9,UNIP6,2018,2.70979323
10,UNIP6,2019,0.30296453
11,UNIP6,2020,1.22085828
12,UNIP6,2021,15.44458963
0,WIZS3,2015,0.23110556
1,WIZS3,2016,0.8755732
2,WIZS3,2017,0.70844189
3,WIZS3,2018,0.51171475
4,WIZS3,2019,1.11143519
5,WIZS3,2020,0.66880609
6,WIZS3,2021,0.6088732
